📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 120/800] Loss: 0.5338  LR: 0.286128
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_120.pth
[Epoch 121/800] Loss: 0.5218  LR: 0.285876
[Epoch 122/800] Loss: 0.5306  LR: 0.285622
[Epoch 123/800] Loss: 0.5299  LR: 0.285366
[Epoch 124/800] Loss: 0.5317  LR: 0.285108
[Epoch 125/800] Loss: 0.5271  LR: 0.284848
[Epoch 126/800] Loss: 0.5364  LR: 0.284586
[Epoch 127/800] Loss: 0.5269  LR: 0.284321
[Epoch 128/800] Loss: 0.5215  LR: 0.284055
[Epoch 129/800] Loss: 0.5243  LR: 0.283786
[Epoch 130/800] Loss: 0.5218  LR: 0.283515
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_130.pth
[Epoch 131/800] Loss: 0.5275  LR: 0.283242
[Epoch 132/800] Loss: 0.5232  LR: 0.282967
[Epoch 133/800] Loss: 0.5257  LR: 0.282690
[Epoch 134/800] Loss: 0.5270  LR: 0.282411
[Epoch 135/800] Loss: 0.5267  LR: 0.282130
[Epoch 136/800] Loss: 0.5236  LR: 0.281846
[Epoch 137/800] Loss: 0.5273  LR: 0.281561
[Epoch 138/800] Loss: 0.5167  LR: 0.281273
[Epoch 139/800] Loss: 0.5223  LR: 0.280984
[Epoch 140/800] Loss: 0.5183  LR: 0.280692
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_140.pth
[Epoch 141/800] Loss: 0.5120  LR: 0.280398
[Epoch 142/800] Loss: 0.5246  LR: 0.280102
[Epoch 143/800] Loss: 0.5132  LR: 0.279804
[Epoch 144/800] Loss: 0.5184  LR: 0.279504
[Epoch 145/800] Loss: 0.5199  LR: 0.279202
[Epoch 146/800] Loss: 0.5137  LR: 0.278898
[Epoch 147/800] Loss: 0.5125  LR: 0.278592
[Epoch 148/800] Loss: 0.5218  LR: 0.278284
[Epoch 149/800] Loss: 0.5167  LR: 0.277974
[Epoch 150/800] Loss: 0.5177  LR: 0.277662
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_150.pth
[Epoch 151/800] Loss: 0.5256  LR: 0.277348
[Epoch 152/800] Loss: 0.5243  LR: 0.277031
[Epoch 153/800] Loss: 0.5111  LR: 0.276713
[Epoch 154/800] Loss: 0.5154  LR: 0.276393
[Epoch 155/800] Loss: 0.5187  LR: 0.276071
[Epoch 156/800] Loss: 0.5065  LR: 0.275746
[Epoch 157/800] Loss: 0.5097  LR: 0.275420
[Epoch 158/800] Loss: 0.5111  LR: 0.275092
[Epoch 159/800] Loss: 0.5059  LR: 0.274762
[Epoch 160/800] Loss: 0.5181  LR: 0.274430
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_160.pth
[Epoch 161/800] Loss: 0.5166  LR: 0.274096
[Epoch 162/800] Loss: 0.5097  LR: 0.273760
[Epoch 163/800] Loss: 0.5168  LR: 0.273422
[Epoch 164/800] Loss: 0.5152  LR: 0.273082
[Epoch 165/800] Loss: 0.5053  LR: 0.272740
[Epoch 166/800] Loss: 0.5145  LR: 0.272396
[Epoch 167/800] Loss: 0.5084  LR: 0.272050
[Epoch 168/800] Loss: 0.5084  LR: 0.271702
[Epoch 169/800] Loss: 0.5115  LR: 0.271353
[Epoch 170/800] Loss: 0.5083  LR: 0.271001
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_170.pth
